x,y_mean,y_unc
1.49E+04,1.00E-35,1.00E-35
1.49E+04,1.00E-35,1.00E-35
1.49E+04,1.00E-35,1.00E-35
1.50E+04,1.00E-35,1.00E-35
1.50E+04,1.00E-35,1.00E-35
1.50E+04,1.00E-35,1.00E-35
1.50E+04,1.00E-35,1.00E-35
1.50E+04,1.00E-35,1.00E-35
1.51E+04,1.00E-35,1.00E-35
1.51E+04,1.00E-35,1.00E-35
1.51E+04,1.00E-35,1.00E-35
1.51E+04,1.00E-35,1.00E-35
1.51E+04,1.00E-35,1.00E-35
1.52E+04,1.00E-35,1.00E-35
1.52E+04,1.00E-35,1.00E-35
1.52E+04,1.00E-35,1.00E-35
1.52E+04,1.00E-35,1.00E-35
1.52E+04,1.00E-35,1.00E-35
1.53E+04,1.00E-35,1.00E-35
1.53E+04,1.00E-35,1.00E-35
1.53E+04,1.00E-35,1.00E-35
1.53E+04,1.00E-35,1.00E-35
1.53E+04,1.00E-35,1.00E-35
1.54E+04,1.00E-35,1.00E-35
1.54E+04,1.00E-35,1.00E-35
1.54E+04,1.00E-35,1.00E-35
1.54E+04,1.00E-35,1.00E-35
1.54E+04,1.00E-35,1.00E-35
1.55E+04,1.00E-35,1.00E-35
1.55E+04,1.00E-35,1.00E-35
1.55E+04,1.00E-35,1.00E-35
1.55E+04,1.00E-35,1.00E-35
1.55E+04,1.00E-35,1.00E-35
1.56E+04,1.00E-35,1.00E-35
1.56E+04,1.00E-35,1.00E-35
1.56E+04,1.00E-35,1.00E-35
1.56E+04,1.00E-35,1.00E-35
1.56E+04,1.00E-35,1.00E-35
1.57E+04,1.00E-35,1.00E-35
1.57E+04,1.00E-35,1.00E-35
1.57E+04,1.00E-35,1.00E-35
1.57E+04,1.00E-35,1.00E-35
1.57E+04,1.00E-35,1.00E-35
1.58E+04,1.00E-35,1.00E-35
1.58E+04,1.00E-35,1.00E-35
1.58E+04,1.00E-35,1.00E-35
1.58E+04,1.00E-35,1.00E-35
1.58E+04,1.00E-35,1.00E-35
1.59E+04,1.00E-35,1.00E-35
1.59E+04,1.00E-35,1.00E-35
1.59E+04,1.00E-35,1.00E-35
1.59E+04,1.00E-35,1.00E-35
1.59E+04,1.00E-35,1.00E-35
1.60E+04,1.00E-35,1.00E-35
1.60E+04,1.00E-35,1.00E-35
1.60E+04,1.00E-35,1.00E-35
1.60E+04,1.00E-35,1.00E-35
1.60E+04,1.00E-35,1.00E-35
1.61E+04,1.00E-35,1.00E-35
1.61E+04,1.00E-35,1.00E-35
1.61E+04,1.00E-35,1.00E-35
1.61E+04,1.00E-35,1.00E-35
1.61E+04,1.00E-35,1.00E-35
1.62E+04,1.00E-35,1.00E-35
1.62E+04,1.00E-35,1.00E-35
1.62E+04,1.00E-35,1.00E-35
1.62E+04,1.00E-35,1.00E-35
1.62E+04,1.00E-35,1.00E-35
1.63E+04,1.00E-35,1.00E-35
1.63E+04,1.00E-35,1.00E-35
1.63E+04,1.00E-35,1.00E-35
1.63E+04,1.00E-35,1.00E-35
1.63E+04,1.00E-35,1.00E-35
1.64E+04,1.00E-35,1.00E-35
1.64E+04,1.00E-35,1.00E-35
1.64E+04,1.00E-35,1.00E-35
1.64E+04,1.00E-35,1.00E-35
1.64E+04,1.00E-35,1.00E-35
1.65E+04,1.00E-35,1.00E-35
1.65E+04,1.00E-35,1.00E-35
1.65E+04,1.00E-35,1.00E-35
1.65E+04,1.00E-35,1.00E-35
1.65E+04,1.00E-35,1.00E-35
1.66E+04,1.00E-35,1.00E-35
1.66E+04,1.00E-35,1.00E-35
1.66E+04,1.00E-35,1.00E-35
1.66E+04,1.00E-35,1.00E-35
1.66E+04,1.00E-35,1.00E-35
1.67E+04,1.00E-35,1.00E-35
1.67E+04,1.00E-35,1.00E-35
1.67E+04,1.00E-35,1.00E-35
1.67E+04,1.00E-35,1.00E-35
1.67E+04,1.00E-35,1.00E-35
1.68E+04,1.00E-35,1.00E-35
1.68E+04,1.00E-35,1.00E-35
1.68E+04,1.00E-35,1.00E-35
1.68E+04,1.00E-35,1.00E-35
1.68E+04,1.00E-35,1.00E-35
1.69E+04,1.00E-35,1.00E-35
1.69E+04,1.00E-35,1.00E-35
1.69E+04,1.00E-35,1.00E-35
1.69E+04,1.00E-35,1.00E-35
1.69E+04,1.00E-35,1.00E-35
1.70E+04,1.00E-35,1.00E-35
1.70E+04,1.00E-35,1.00E-35
1.70E+04,1.00E-35,1.00E-35
1.70E+04,1.00E-35,1.00E-35
1.70E+04,1.00E-35,1.00E-35
1.71E+04,1.00E-35,1.00E-35
1.71E+04,1.00E-35,1.00E-35
1.71E+04,1.00E-35,1.00E-35
1.71E+04,1.00E-35,1.00E-35
1.71E+04,1.00E-35,1.00E-35
1.72E+04,1.00E-35,1.00E-35
1.72E+04,1.00E-35,1.00E-35
1.72E+04,1.00E-35,1.00E-35
1.72E+04,1.00E-35,1.00E-35
1.72E+04,1.00E-35,1.00E-35
1.73E+04,1.00E-35,1.00E-35
1.73E+04,1.00E-35,1.00E-35
1.73E+04,1.00E-35,1.00E-35
1.73E+04,1.00E-35,1.00E-35
1.73E+04,1.00E-35,1.00E-35
1.74E+04,1.00E-35,1.00E-35
1.74E+04,1.00E-35,1.00E-35
1.74E+04,1.00E-35,1.00E-35
1.74E+04,1.00E-35,1.00E-35
1.74E+04,1.00E-35,1.00E-35
1.75E+04,1.00E-35,1.00E-35
1.75E+04,1.00E-35,1.00E-35
1.75E+04,1.00E-35,1.00E-35
1.75E+04,1.00E-35,1.00E-35
1.75E+04,1.00E-35,1.00E-35
1.76E+04,1.00E-35,1.00E-35
1.76E+04,1.00E-35,1.00E-35
1.76E+04,1.00E-35,1.00E-35
1.76E+04,1.00E-35,1.00E-35
1.76E+04,1.00E-35,1.00E-35
1.77E+04,1.00E-35,1.00E-35
1.77E+04,1.00E-35,1.00E-35
1.77E+04,1.00E-35,1.00E-35
1.77E+04,1.00E-35,1.00E-35
1.77E+04,1.00E-35,1.00E-35
1.78E+04,1.00E-35,1.00E-35
1.78E+04,1.00E-35,1.00E-35
1.78E+04,1.00E-35,1.00E-35
1.78E+04,1.00E-35,1.00E-35
1.78E+04,1.00E-35,1.00E-35
1.79E+04,1.00E-35,1.00E-35
1.79E+04,1.00E-35,1.00E-35
1.79E+04,1.00E-35,1.00E-35
1.79E+04,1.00E-35,1.00E-35
1.79E+04,1.00E-35,1.00E-35
1.80E+04,1.00E-35,1.00E-35
1.80E+04,1.00E-35,1.00E-35
1.80E+04,1.00E-35,1.00E-35
1.80E+04,1.00E-35,1.00E-35
1.80E+04,1.00E-35,1.00E-35
1.81E+04,1.00E-35,1.00E-35
1.81E+04,1.00E-35,1.00E-35
1.81E+04,1.00E-35,1.00E-35
1.81E+04,1.00E-35,1.00E-35
1.81E+04,1.00E-35,1.00E-35
1.82E+04,1.00E-35,1.00E-35
1.82E+04,1.00E-35,1.00E-35
1.82E+04,1.00E-35,1.00E-35
1.82E+04,1.00E-35,1.00E-35
1.82E+04,1.00E-35,1.00E-35
1.83E+04,1.00E-35,1.00E-35
1.83E+04,1.00E-35,1.00E-35
1.83E+04,1.00E-35,1.00E-35
1.83E+04,1.00E-35,1.00E-35
1.83E+04,1.00E-35,1.00E-35
1.84E+04,1.00E-35,1.00E-35
1.84E+04,1.00E-35,1.00E-35
1.84E+04,1.00E-35,1.00E-35
1.84E+04,1.00E-35,1.00E-35
1.84E+04,1.00E-35,1.00E-35
1.85E+04,1.00E-35,1.00E-35
1.85E+04,1.00E-35,1.00E-35
1.85E+04,1.00E-35,1.00E-35
1.85E+04,1.00E-35,1.00E-35
1.85E+04,1.00E-35,1.00E-35
1.86E+04,1.00E-35,1.00E-35
1.86E+04,1.00E-35,1.00E-35
1.86E+04,1.00E-35,1.00E-35
1.86E+04,1.00E-35,1.00E-35
1.86E+04,1.00E-35,1.00E-35
1.87E+04,1.00E-35,1.00E-35
1.87E+04,1.00E-35,1.00E-35
1.87E+04,1.00E-35,1.00E-35
1.87E+04,1.00E-35,1.00E-35
1.87E+04,1.00E-35,1.00E-35
1.88E+04,1.00E-35,1.00E-35
1.88E+04,1.00E-35,1.00E-35
1.88E+04,1.00E-35,1.00E-35
1.88E+04,1.00E-35,1.00E-35
1.88E+04,1.00E-35,1.00E-35
1.89E+04,1.00E-35,1.00E-35
1.89E+04,1.00E-35,1.00E-35
1.89E+04,1.00E-35,1.00E-35
1.89E+04,1.00E-35,1.00E-35
1.89E+04,1.00E-35,1.00E-35
1.90E+04,1.00E-35,1.00E-35
1.90E+04,1.00E-35,1.00E-35
1.90E+04,1.00E-35,1.00E-35
1.90E+04,1.00E-35,1.00E-35
1.90E+04,1.00E-35,1.00E-35
1.91E+04,1.00E-35,1.00E-35
1.91E+04,1.00E-35,1.00E-35
1.91E+04,1.00E-35,1.00E-35
1.91E+04,1.00E-35,1.00E-35
1.91E+04,1.00E-35,1.00E-35
1.92E+04,1.00E-35,1.00E-35
1.92E+04,1.00E-35,1.00E-35
1.92E+04,1.00E-35,1.00E-35
1.92E+04,1.00E-35,1.00E-35
1.92E+04,1.00E-35,1.00E-35
1.93E+04,1.00E-35,1.00E-35
1.93E+04,1.00E-35,1.00E-35
1.93E+04,1.00E-35,1.00E-35
1.93E+04,1.00E-35,1.00E-35
1.93E+04,1.00E-35,1.00E-35
1.94E+04,1.00E-35,1.00E-35
1.94E+04,1.00E-35,1.00E-35
1.94E+04,1.00E-35,1.00E-35
1.94E+04,1.00E-35,1.00E-35
1.94E+04,1.00E-35,1.00E-35
1.95E+04,1.00E-35,1.00E-35
1.95E+04,1.00E-35,1.00E-35
1.95E+04,1.00E-35,1.00E-35
1.95E+04,1.00E-35,1.00E-35
1.95E+04,1.00E-35,1.00E-35
1.96E+04,1.00E-35,1.00E-35
1.96E+04,1.00E-35,1.00E-35
1.96E+04,1.00E-35,1.00E-35
1.96E+04,1.00E-35,1.00E-35
1.96E+04,1.00E-35,1.00E-35
1.97E+04,1.00E-35,1.00E-35
1.97E+04,1.00E-35,1.00E-35
1.97E+04,1.00E-35,1.00E-35
1.97E+04,1.00E-35,1.00E-35
1.97E+04,1.00E-35,1.00E-35
1.98E+04,1.00E-35,1.00E-35
1.98E+04,1.00E-35,1.00E-35
1.98E+04,1.00E-35,1.00E-35
1.98E+04,1.00E-35,1.00E-35
1.98E+04,1.00E-35,1.00E-35
1.99E+04,1.00E-35,1.00E-35
1.99E+04,1.00E-35,1.00E-35
1.99E+04,1.00E-35,1.00E-35
1.99E+04,1.00E-35,1.00E-35
1.99E+04,1.00E-35,1.00E-35
2.00E+04,1.00E-35,1.00E-35
2.00E+04,1.00E-35,1.00E-35
2.00E+04,1.00E-35,1.00E-35
