Min	Max	Gen[Ir L3-M1]	Emit[Ir L3-M1]	Gen[Ir L3-M4]	Emit[Ir L3-M4]	Gen[Ir L3-M5]	Emit[Ir L3-M5]	Gen[Ir L3-N1]	Emit[Ir L3-N1]	Gen[Ir L3-N4]	Emit[Ir L3-N4]	Gen[Ir L3-N5]	Emit[Ir L3-N5]	Gen[Ir L3-O1]	Emit[Ir L3-O1]	Gen[Ir L3-O4]	Emit[Ir L3-O4]	Gen[Ir L3-O5]	Emit[Ir L3-O5]	Gen[Ir M1-N2]	Emit[Ir M1-N2]	Gen[Ir M1-N3]	Emit[Ir M1-N3]	Gen[Ir M1-O2]	Emit[Ir M1-O2]	Gen[Ir M1-O3]	Emit[Ir M1-O3]	Gen[Ir M2-N1]	Emit[Ir M2-N1]	Gen[Ir M2-N4]	Emit[Ir M2-N4]	Gen[Ir M2-O1]	Emit[Ir M2-O1]	Gen[Ir M2-O4]	Emit[Ir M2-O4]	Gen[Ir M3-N1]	Emit[Ir M3-N1]	Gen[Ir M3-N4]	Emit[Ir M3-N4]	Gen[Ir M3-N5]	Emit[Ir M3-N5]	Gen[Ir M3-O1]	Emit[Ir M3-O1]	Gen[Ir M3-O4]	Emit[Ir M3-O4]	Gen[Ir M3-O5]	Emit[Ir M3-O5]	Gen[Ir M4-N2]	Emit[Ir M4-N2]	Gen[Ir M4-N3]	Emit[Ir M4-N3]	Gen[Ir M4-N6]	Emit[Ir M4-N6]	Gen[Ir M4-O2]	Emit[Ir M4-O2]	Gen[Ir M4-O3]	Emit[Ir M4-O3]	Gen[Ir M5-N3]	Emit[Ir M5-N3]	Gen[Ir M5-N6]	Emit[Ir M5-N6]	Gen[Ir M5-N7]	Emit[Ir M5-N7]	Gen[Ir M5-O3]	Emit[Ir M5-O3]	Gen[Ir N1-O2]	Emit[Ir N1-O2]	Gen[Ir N1-O3]	Emit[Ir N1-O3]	Gen[Ir N2-O1]	Emit[Ir N2-O1]	Gen[Ir N3-O1]	Emit[Ir N3-O1]	Gen[Ir N4-O2]	Emit[Ir N4-O2]	Gen[Ir N5-O3]	Emit[Ir N5-O3]	Gen_I[Ir L3-M1]	Emit_I[Ir L3-M1]	Gen_I[Ir L3-M4]	Emit_I[Ir L3-M4]	Gen_I[Ir L3-M5]	Emit_I[Ir L3-M5]	Gen_I[Ir L3-N1]	Emit_I[Ir L3-N1]	Gen_I[Ir L3-N4]	Emit_I[Ir L3-N4]	Gen_I[Ir L3-N5]	Emit_I[Ir L3-N5]	Gen_I[Ir L3-O1]	Emit_I[Ir L3-O1]	Gen_I[Ir L3-O4]	Emit_I[Ir L3-O4]	Gen_I[Ir L3-O5]	Emit_I[Ir L3-O5]	Gen_I[Ir M1-N2]	Emit_I[Ir M1-N2]	Gen_I[Ir M1-N3]	Emit_I[Ir M1-N3]	Gen_I[Ir M1-O2]	Emit_I[Ir M1-O2]	Gen_I[Ir M1-O3]	Emit_I[Ir M1-O3]	Gen_I[Ir M2-N1]	Emit_I[Ir M2-N1]	Gen_I[Ir M2-N4]	Emit_I[Ir M2-N4]	Gen_I[Ir M2-O1]	Emit_I[Ir M2-O1]	Gen_I[Ir M2-O4]	Emit_I[Ir M2-O4]	Gen_I[Ir M3-N1]	Emit_I[Ir M3-N1]	Gen_I[Ir M3-N4]	Emit_I[Ir M3-N4]	Gen_I[Ir M3-N5]	Emit_I[Ir M3-N5]	Gen_I[Ir M3-O1]	Emit_I[Ir M3-O1]	Gen_I[Ir M3-O4]	Emit_I[Ir M3-O4]	Gen_I[Ir M3-O5]	Emit_I[Ir M3-O5]	Gen_I[Ir M4-N2]	Emit_I[Ir M4-N2]	Gen_I[Ir M4-N3]	Emit_I[Ir M4-N3]	Gen_I[Ir M4-N6]	Emit_I[Ir M4-N6]	Gen_I[Ir M4-O2]	Emit_I[Ir M4-O2]	Gen_I[Ir M4-O3]	Emit_I[Ir M4-O3]	Gen_I[Ir M5-N3]	Emit_I[Ir M5-N3]	Gen_I[Ir M5-N6]	Emit_I[Ir M5-N6]	Gen_I[Ir M5-N7]	Emit_I[Ir M5-N7]	Gen_I[Ir M5-O3]	Emit_I[Ir M5-O3]	Gen_I[Ir N1-O2]	Emit_I[Ir N1-O2]	Gen_I[Ir N1-O3]	Emit_I[Ir N1-O3]	Gen_I[Ir N2-O1]	Emit_I[Ir N2-O1]	Gen_I[Ir N3-O1]	Emit_I[Ir N3-O1]	Gen_I[Ir N4-O2]	Emit_I[Ir N4-O2]	Gen_I[Ir N5-O3]	Emit_I[Ir N5-O3]
2700.021	2700.026	0.353	0.340	0.353	0.344	0.353	0.344	0.353	0.347	0.353	0.347	0.353	0.347	0.353	0.348	0.353	0.348	0.353	0.347	2.887	1.620	2.887	1.692	2.887	1.941	2.887	1.949	32.679	15.855	1277.323	716.989	32.682	20.323	32.681	21.009	765.308	606.381	765.300	377.355	765.307	382.128	21.241	12.076	20.677	12.307	21.241	12.651	1578.946	1112.553	119.868	87.723	1578.955	872.634	119.861	66.262	28.523	15.905	991.942	701.409	991.943	808.029	991.944	808.537	991.931	810.281	5.518	0.892	2.887	0.493	13.803	1.158	15.002	0.621	7.934	0.118	41.488	0.622	28648.603	27574.877	51324.078	49903.443	452498.648	440248.508	5957.744	5845.944	9204.747	9047.429	82825.901	81415.986	1236.610	1216.552	586.605	576.851	5042.051	4956.753	469737.631	263572.094	413982.601	242674.409	102306.183	68778.955	91598.978	61821.196	386667.953	187599.823	2057999.044	1155198.403	79340.406	49336.425	153155.249	98454.717	2054412.646	1627785.332	1002388.996	494259.636	7825659.289	3907449.299	400295.548	227567.313	68608.850	40837.567	537154.528	319919.522	6691859.387	4715199.214	686078.047	502092.962	72863541.124	40269177.767	1630691.200	901477.428	159771.881	89090.619	10125644.589	7159909.830	6929741.967	5644913.892	135170408.581	110177844.949	2691762.162	2198826.301	21089.476	3409.746	5285.633	901.762	70019.230	5873.872	140130.623	5801.035	19787.299	294.112	178396.043	2672.642
2700.026	2700.032	0.181	0.173	0.181	0.175	0.181	0.175	0.181	0.177	0.181	0.177	0.181	0.177	0.181	0.177	0.181	0.177	0.181	0.177	2.892	1.421	2.892	1.500	2.892	1.775	2.892	1.784	32.749	13.455	1279.867	629.148	32.751	18.260	32.751	19.022	769.091	577.669	769.083	322.338	769.091	327.360	21.351	10.661	20.786	10.982	21.351	11.289	1594.616	1036.794	121.071	82.474	1594.625	769.031	121.064	58.405	28.819	14.051	1002.280	654.499	1002.282	778.906	1002.282	779.507	1002.269	781.578	5.529	0.587	2.892	0.328	13.849	0.656	15.069	0.299	7.950	0.045	41.873	0.237	14673.793	14001.126	26288.154	25397.143	231769.468	224085.733	3051.552	2981.360	4714.664	4615.876	42423.364	41537.989	633.391	620.794	300.459	294.333	2582.535	2528.970	470614.830	231230.288	414755.681	215050.396	102497.232	62901.093	91770.032	56588.640	387490.571	159205.586	2062098.334	1013670.948	79509.199	44329.715	153481.079	89142.002	2064568.412	1550709.364	1007344.194	422198.326	7864344.544	3347420.536	402365.509	200907.586	68969.265	36439.413	539932.187	285480.861	6758269.366	4394119.908	692963.143	472048.157	73586638.798	35488243.724	1647055.917	794589.191	161431.031	78710.452	10231177.147	6681060.804	7001965.880	5441455.519	136579196.173	106222029.988	2719816.493	2120935.703	21131.727	2244.971	5295.503	601.061	70251.277	3325.960	140759.386	2790.301	19827.840	111.090	180052.142	1018.671
2700.032	2700.037	0.062	0.058	0.062	0.059	0.062	0.059	0.062	0.060	0.062	0.060	0.062	0.060	0.062	0.060	0.062	0.060	0.062	0.060	2.832	1.218	2.832	1.298	2.832	1.586	2.832	1.595	32.065	11.146	1253.040	538.992	32.068	16.020	32.067	16.817	754.457	537.016	754.449	268.515	754.456	273.492	20.948	9.180	20.394	9.558	20.948	9.826	1569.545	941.207	119.176	75.534	1569.553	659.986	119.169	50.130	28.374	12.088	986.953	594.902	986.955	731.518	986.955	732.188	986.942	734.501	5.413	0.377	2.832	0.213	13.571	0.361	14.778	0.140	7.784	0.016	41.200	0.088	4989.202	4720.491	8938.173	8581.849	78803.390	75730.379	1037.551	1009.453	1603.022	1563.469	14424.268	14069.777	215.358	210.314	102.158	99.706	878.082	856.635	460791.650	198094.788	406098.454	186108.078	100357.799	56188.894	89854.509	50595.641	379403.382	131876.990	2018874.529	868413.048	77849.788	38891.338	150277.826	78809.514	2025283.506	1441578.851	988176.301	351701.157	7714700.633	2796600.208	394769.966	172993.461	67671.044	31713.574	529739.760	248477.680	6652012.275	3989003.571	682118.703	432330.384	72429670.867	30456182.852	1621280.531	682015.316	158941.249	67709.786	10074720.422	6072700.884	6894890.766	5110400.103	134490606.477	99773992.350	2678224.620	1993185.873	20690.669	1440.875	5184.970	390.627	68841.103	1833.525	138041.056	1305.174	19414.006	40.795	177161.237	376.659
2700.037	2700.043	0.007	0.006	0.007	0.006	0.007	0.006	0.007	0.006	0.007	0.006	0.007	0.006	0.007	0.006	0.007	0.006	0.007	0.006	2.766	1.041	2.766	1.121	2.766	1.414	2.766	1.423	31.329	9.219	1224.227	461.030	31.332	14.031	31.331	14.842	740.031	499.276	740.023	223.793	740.030	228.603	20.549	7.907	20.008	8.321	20.548	8.554	1549.271	857.122	117.641	69.392	1549.279	568.303	117.634	43.171	28.021	10.435	974.811	542.534	974.813	689.219	974.813	689.950	974.800	692.476	5.288	0.242	2.766	0.139	13.280	0.199	14.484	0.065	7.605	0.006	40.628	0.033	534.615	502.016	957.765	914.495	8444.130	8070.941	111.178	107.763	171.771	166.963	1545.624	1502.531	23.077	22.463	10.947	10.649	94.090	91.483	450093.611	169390.149	396670.207	160753.290	98027.827	50090.888	87768.388	45145.178	370695.402	109076.556	1972451.509	742802.260	76062.998	34061.867	146828.684	69553.646	1986558.371	1340268.652	969281.532	293123.938	7567188.972	2337577.917	387249.779	149003.302	66389.040	27609.423	519648.447	216328.376	6566088.882	3632637.562	673331.384	397172.674	71494104.175	26225295.577	1600394.580	587330.312	156963.193	58451.587	9950773.854	5538130.351	6810064.815	4814899.815	132836005.177	94018301.993	2645275.104	1879141.966	20213.167	924.181	5064.592	253.659	67366.668	1011.520	135291.542	611.737	18966.866	15.001	174700.479	140.054
2700.043	2700.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.574	0.848	2.574	0.922	2.574	1.200	2.574	1.209	29.171	7.267	1139.874	375.829	29.173	11.711	29.172	12.483	691.185	442.011	691.178	177.618	691.185	181.961	19.193	6.485	18.689	6.897	19.192	7.091	1454.432	742.390	110.440	60.630	1454.439	465.449	110.434	35.360	26.316	8.567	915.685	470.575	915.686	617.593	915.687	618.338	915.675	620.910	4.922	0.148	2.574	0.086	12.380	0.105	13.518	0.029	7.079	0.002	38.112	0.012	0.010	0.010	0.018	0.017	0.162	0.154	0.002	0.002	0.003	0.003	0.030	0.029	0.000	0.000	0.000	0.000	0.002	0.002	418811.737	137983.535	369101.304	132275.017	91214.813	42539.103	81668.413	38373.458	345155.316	85979.869	1836544.108	605528.714	70822.428	28430.105	136712.516	58499.822	1855435.260	1186545.030	905303.944	232643.644	7067715.386	1860645.104	361692.521	122205.017	62012.659	22886.716	485353.287	179334.641	6164142.588	3146382.524	632115.771	347023.687	67117558.346	21478906.705	1502432.065	481065.340	147408.892	47988.877	9347219.312	4803581.416	6397006.959	4314517.762	124778966.326	84259732.487	2484828.478	1684937.841	18814.712	564.870	4712.599	156.926	62799.219	531.740	126271.649	273.172	17656.635	5.259	163882.508	49.581
2700.048	2700.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.426	0.699	2.426	0.768	2.426	1.032	2.426	1.041	27.486	5.791	1074.051	309.800	27.489	9.885	27.488	10.618	652.972	395.678	652.965	142.448	652.972	146.357	18.132	5.375	17.657	5.779	18.131	5.942	1379.452	649.319	104.746	53.497	1379.459	384.816	104.740	29.236	24.966	7.099	868.872	412.104	868.874	558.867	868.874	559.623	868.863	562.233	4.638	0.091	2.426	0.054	11.677	0.056	12.764	0.013	6.671	0.001	36.126	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	394653.499	113739.415	347810.503	110145.312	85953.286	36565.227	76957.550	33014.379	325223.955	68517.671	1730490.917	499144.599	66732.711	23998.123	128817.906	49761.996	1752855.260	1062167.825	855253.112	186578.455	6676968.098	1496576.782	341695.912	101296.574	58588.322	19175.413	458519.935	150264.229	5846364.320	2751931.389	599528.490	306193.896	63657466.350	17757964.914	1424977.629	397752.772	139847.589	39768.326	8869361.033	4206720.172	6069972.525	3904261.309	118399886.285	76258759.248	2357796.468	1525708.148	17728.804	348.638	4440.763	98.080	59235.410	281.866	119223.946	122.853	16637.371	1.855	155341.910	17.630
2700.054	2700.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.312	0.583	2.312	0.647	2.312	0.897	2.312	0.906	26.210	4.672	1024.169	258.503	26.212	8.446	26.211	9.143	624.428	358.578	624.421	115.678	624.427	119.198	17.339	4.511	16.886	4.902	17.339	5.041	1325.135	575.296	100.622	47.815	1325.143	322.318	100.616	24.490	23.990	5.961	835.116	365.621	835.117	512.312	835.117	513.079	835.106	515.730	4.422	0.057	2.312	0.034	11.147	0.030	12.198	0.006	6.360	0.000	34.681	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	376166.339	94856.999	331517.658	92794.247	81926.888	31797.297	73352.548	28735.357	310119.562	55274.701	1650121.638	416494.385	63633.441	20504.444	122835.210	42845.640	1676230.004	962576.814	817866.117	151514.527	6385087.498	1218862.357	326758.837	85015.258	56031.383	16266.574	438475.944	127477.862	5616162.113	2438208.019	575921.891	273674.267	61150936.224	14873923.329	1368868.754	333175.942	134383.710	33389.001	8524774.328	3732223.904	5834145.880	3579026.781	113799890.350	69916347.465	2266192.854	1399516.362	16902.035	217.867	4232.740	62.048	56546.837	151.354	113938.422	55.985	15862.666	0.663	149127.973	6.357
2700.059	2700.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.148	0.475	2.148	0.532	2.148	0.761	2.148	0.769	24.361	3.679	951.920	210.513	24.363	7.041	24.362	7.680	582.107	316.946	582.101	91.721	582.107	94.785	16.164	3.696	15.743	4.059	16.164	4.174	1241.193	497.393	94.248	41.700	1241.200	263.596	94.243	20.029	22.478	4.886	782.595	316.521	782.596	458.105	782.596	458.857	782.586	461.457	4.109	0.035	2.148	0.021	10.373	0.016	11.364	0.003	5.911	0.000	32.460	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	349518.416	77215.830	308032.683	76297.847	76123.122	26978.398	68156.195	24402.276	288242.434	43533.445	1533715.170	339174.762	59144.472	17094.316	114169.901	35992.880	1562623.127	850817.298	762435.051	120136.020	5952336.683	969223.642	304612.684	69644.016	52237.945	13467.549	408758.132	105548.656	5260401.247	2108041.623	539439.599	238675.885	57277275.055	12164074.840	1282156.537	272492.762	125912.300	27370.781	7988646.074	3231010.483	5467232.907	3200334.272	106642946.088	62527551.657	2123670.582	1252235.514	15707.305	133.261	3932.889	38.419	52619.140	79.678	106145.817	25.058	14742.227	0.233	139577.391	2.258
2700.065	2700.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.968	0.380	1.968	0.430	1.968	0.636	1.968	0.643	22.310	2.847	871.775	168.535	22.312	5.773	22.311	6.346	533.994	275.419	533.988	71.361	533.994	73.961	14.828	2.972	14.443	3.300	14.828	3.393	1141.182	421.512	86.654	35.652	1141.188	211.082	86.649	16.040	20.670	3.922	719.715	268.520	719.716	401.658	719.717	402.376	719.707	404.860	3.764	0.021	1.968	0.013	9.506	0.008	10.421	0.001	5.414	0.000	29.834	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	320199.122	61833.500	282193.412	61724.654	69737.546	22533.599	62438.924	20400.421	263974.429	33687.252	1404587.037	271539.663	54164.920	14016.046	104557.591	29740.841	1433467.369	739340.510	699417.375	93468.758	5460357.160	756292.445	279435.481	56013.902	47922.498	10948.935	374972.974	85817.846	4836533.243	1786443.275	495973.108	204058.000	52662037.034	9740731.449	1178844.056	218220.606	115784.120	21966.792	7346780.060	2741023.138	5027955.601	2805996.346	98074475.125	54831057.353	1953039.408	1098652.893	14387.166	79.761	3602.979	23.291	48223.538	40.901	97339.764	10.898	13502.405	0.080	128286.260	0.774
2700.070	2700.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.801	0.305	1.801	0.349	1.801	0.531	1.801	0.538	20.433	2.209	798.450	135.205	20.435	4.742	20.434	5.252	490.473	239.823	490.468	55.725	490.473	57.922	13.619	2.398	13.267	2.691	13.619	2.767	1053.436	359.074	79.991	30.636	1053.442	170.057	79.986	12.923	19.087	3.167	664.773	229.066	664.774	353.953	664.774	354.637	664.766	357.004	3.446	0.013	1.801	0.008	8.716	0.004	9.565	0.001	4.957	0.000	27.521	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	293041.801	49564.319	258259.502	49976.619	63822.837	18827.830	57143.238	17060.722	241771.599	26134.741	1286447.536	217839.387	49609.121	11511.736	95763.276	24613.995	1316638.747	643787.478	642414.355	72988.613	5015334.097	592286.995	256661.291	45195.072	44020.017	8928.578	344412.403	69986.848	4464652.207	1521818.850	457837.737	175349.844	48612853.208	7847544.623	1088202.748	175819.022	106918.425	17739.745	6785936.945	2338285.317	4644128.382	2472726.468	90587604.379	48325693.052	1803947.039	968786.318	13172.236	48.020	3297.397	14.192	44214.648	21.185	89347.059	4.796	12363.851	0.028	118340.274	0.270
2700.075	2700.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.616	0.239	1.616	0.276	1.616	0.435	1.616	0.441	18.348	1.679	716.951	106.273	18.349	3.816	18.349	4.260	442.411	205.035	442.406	42.705	442.411	44.518	12.285	1.899	11.968	2.154	12.285	2.215	957.080	300.973	72.674	25.904	957.085	134.779	72.670	10.243	17.350	2.516	604.414	192.301	604.415	306.984	604.415	307.621	604.407	309.829	3.093	0.007	1.616	0.005	7.840	0.002	8.619	0.000	4.450	0.000	24.976	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	262859.885	38913.412	231659.999	39635.361	57249.387	15411.655	51257.756	13977.741	217093.576	19862.392	1155137.737	171225.656	44545.437	9264.743	85988.562	19961.989	1187620.471	550399.923	579463.759	55935.436	4523878.255	455221.841	231510.890	35792.191	39711.126	7147.156	310663.206	56024.287	4056276.536	1275576.733	415959.942	148265.376	44166301.756	6219622.514	988666.334	139355.485	97187.261	14095.793	6169798.854	1962984.958	4222458.644	2144600.341	82362583.652	41919016.399	1640155.263	840770.998	11821.928	28.281	2957.781	8.458	39770.258	10.737	80507.889	2.066	11098.406	0.009	107396.328	0.092
2700.081	2700.086	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.449	0.188	1.449	0.219	1.449	0.356	1.449	0.361	16.470	1.275	643.578	83.466	16.471	3.069	16.471	3.452	398.237	174.893	398.233	32.639	398.237	34.124	11.058	1.500	10.774	1.720	11.058	1.769	865.056	250.883	65.687	21.783	865.061	106.206	65.683	8.072	15.686	1.988	546.532	160.496	546.533	264.737	546.533	265.324	546.526	267.363	2.775	0.004	1.449	0.003	7.045	0.001	7.753	0.000	3.994	0.000	22.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	235793.044	30537.799	207805.828	31421.156	51354.383	12611.578	45979.714	11448.512	194876.164	15081.437	1036920.645	134478.546	39986.646	7451.022	77188.471	16178.112	1069038.517	469488.223	521605.253	42750.529	4072176.419	348932.520	208394.910	28272.479	35748.583	5706.377	279643.992	44733.514	3666262.753	1063287.477	375965.108	124678.422	39919681.509	4901041.546	893605.391	109818.756	87867.885	11133.602	5578947.850	1638326.517	3818094.755	1849456.395	74475128.056	36155285.163	1483085.724	725531.281	10608.520	16.629	2653.216	5.034	35737.705	5.425	72422.892	0.886	9960.482	0.003	97008.432	0.031
2700.086	2700.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.308	0.148	1.308	0.175	1.308	0.293	1.308	0.297	14.866	0.973	580.904	65.926	14.867	2.482	14.867	2.814	360.483	150.027	360.479	25.089	360.483	26.307	10.010	1.192	9.753	1.381	10.010	1.420	786.894	210.481	59.752	18.436	786.898	84.233	59.748	6.402	14.274	1.580	497.435	134.837	497.435	229.807	497.436	230.351	497.429	232.237	2.505	0.003	1.308	0.002	6.366	0.001	7.014	0.000	3.604	0.000	20.508	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	212792.279	24114.412	187535.116	25064.325	46344.947	10384.008	41494.558	9434.872	175898.552	11516.916	935942.276	106218.939	36092.629	6026.297	69671.632	13185.604	967689.753	402736.141	472155.166	32861.558	3686119.172	268999.153	188638.311	22460.495	32361.899	4582.099	253132.716	35922.405	3334997.711	892056.831	341994.795	105520.858	36312740.209	3887086.873	812863.716	87104.474	79954.277	8851.280	5077763.033	1376399.565	3475096.199	1605438.900	67784654.591	31389501.576	1349852.694	630211.532	9574.606	9.839	2394.404	3.016	32294.372	2.758	65516.346	0.382	8990.011	0.001	88184.940	0.011
2700.092	2700.097	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.167	0.116	1.167	0.138	1.167	0.239	1.167	0.242	13.279	0.736	518.903	51.537	13.280	1.987	13.280	2.270	323.092	127.433	323.089	19.098	323.092	20.083	8.972	0.938	8.742	1.098	8.971	1.130	709.268	174.989	53.857	15.462	709.272	66.206	53.854	5.033	12.870	1.245	448.687	112.272	448.687	197.706	448.688	198.202	448.682	199.925	2.236	0.002	1.167	0.001	5.694	0.000	6.281	0.000	3.219	0.000	18.472	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	189849.488	18826.275	167315.496	19766.829	41348.138	8452.841	37020.707	7687.144	157124.556	8704.585	836047.331	83034.931	32240.393	4823.801	62235.443	10635.905	867317.084	342084.502	423181.334	25014.398	3303780.062	205359.404	169071.990	17669.256	29007.658	3643.452	226876.770	28565.213	3006006.570	741634.606	308257.663	88498.784	32730557.989	3055200.333	732676.273	68467.420	72094.847	6974.045	4580148.874	1146062.954	3134541.314	1381178.339	61141846.929	27008675.056	1217568.875	542528.522	8547.741	5.760	2136.245	1.787	28883.325	1.388	58673.832	0.163	8027.547	0.000	79428.312	0.004
2700.097	2700.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.046	0.091	1.046	0.109	1.046	0.195	1.046	0.198	11.915	0.559	465.574	40.473	11.916	1.598	11.915	1.839	291.049	108.798	291.046	14.614	291.049	15.412	8.082	0.741	7.876	0.878	8.082	0.903	642.768	146.284	48.808	13.039	642.772	52.327	48.805	3.978	11.669	0.986	406.833	93.981	406.833	170.988	406.834	171.442	406.828	173.018	2.005	0.001	1.046	0.001	5.116	0.000	5.653	0.000	2.887	0.000	16.723	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	170128.074	14765.168	149934.896	15660.255	37052.926	6912.006	33175.025	6291.543	140976.326	6609.426	750123.880	65208.930	28926.937	3878.858	55839.293	8618.283	781298.850	292058.859	381211.319	19141.171	2976119.799	157598.996	152303.875	13972.634	26133.402	2912.224	204375.724	22833.136	2724168.040	619977.488	279355.902	74631.238	29661791.556	2414735.023	663981.685	54118.005	65362.395	5525.712	4152908.711	959350.069	2842148.659	1194523.499	55438483.821	23362054.421	1103993.006	469512.816	7664.764	3.388	1914.334	1.063	25953.868	0.703	52805.459	0.070	7199.856	0.000	71910.446	0.001
2700.103	2700.108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.924	0.070	0.924	0.085	0.924	0.157	0.924	0.160	10.550	0.419	412.268	31.369	10.551	1.268	10.551	1.471	259.011	91.763	259.008	11.047	259.011	11.684	7.192	0.579	7.010	0.693	7.192	0.713	576.696	121.063	43.790	10.886	576.699	40.943	43.788	3.113	10.475	0.774	365.340	77.911	365.340	146.456	365.340	146.866	365.336	148.291	1.774	0.001	0.924	0.000	4.539	0.000	5.025	0.000	2.555	0.000	14.987	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	150345.796	11420.566	132500.654	12235.846	32744.459	5574.074	29317.475	5078.276	124835.135	4953.113	664237.881	50541.759	25614.926	3078.322	49445.931	6892.270	695296.285	246330.055	339248.948	14469.352	2648519.223	119479.850	135538.816	10915.483	23259.623	2299.596	181878.777	18030.139	2444139.430	513088.888	250639.743	62306.973	26612732.238	1889372.498	595728.243	42346.539	58676.077	4334.810	3729350.122	795304.999	2552275.584	1023141.869	49784267.229	20013131.061	991395.831	402409.948	6780.684	1.967	1691.737	0.624	23024.234	0.351	46936.959	0.030	6371.641	0.000	64444.636	0.000
