 #  Results from PENEPMA. Phi rho z distribution.
 #
 #  Z = 14, S1 =  1, S2 =  4
 #
 #  Angular intervals : theta_1 = 4.000000E+01,  theta_2 = 6.000000E+01
 #                        phi_1 = 0.000000E+00,    phi_2 = 3.600000E+02
 #
 # Intensities of characteristic lines. All in 1/(cm*sr*electron).
 #    P = primary photons (from electron interactions);
 #    C = flourescence from characteristic x rays;
 #    B = flourescence from bremsstrahlung quanta;
 #   TF = C+B, total fluorescence;
 #    T = P+C+B, total intensity;
 #    E = emitted; G = generated;
 #  unc = statistical uncertainty (3 sigma).
 #
 # D (cm)     DF (cm)    PE            unc       PG            unc       CE            unc       CG            unc       BE            unc       BG            unc       TFE           unc       TFG           unc       TE            unc       TG            unc
   0.000E+00  0.000E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   1.994E-07  3.989E-06  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   3.989E-07  7.977E-06  1.085548E-01  2.17E+00  1.748869E-01  5.03E-02  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  6.139659E-04  1.10E-04  7.365628E-04  4.39E-05  6.139659E-04  1.10E-04  7.365628E-04  4.39E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   5.983E-07  1.197E-05  1.568014E-01  2.61E+00  2.037673E-01  5.42E-02  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  1.068413E-03  1.44E-04  1.397605E-03  6.02E-05  1.068413E-03  1.44E-04  1.397605E-03  6.02E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   7.977E-07  1.595E-05  4.824658E-02  1.45E+00  9.305907E-02  3.67E-02  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  9.573552E-04  1.37E-04  1.241030E-03  5.68E-05  9.573552E-04  1.37E-04  1.241030E-03  5.68E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   9.972E-07  1.994E-05  1.206164E-02  7.24E-01  3.369380E-02  2.21E-02  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  8.218936E-04  1.27E-04  1.126384E-03  5.42E-05  8.218936E-04  1.27E-04  1.126384E-03  5.42E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   1.197E-06  2.393E-05  0.000000E+00  0.00E+00  1.444020E-02  1.44E-02  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  7.525323E-04  1.21E-04  1.021487E-03  5.17E-05  7.525323E-04  1.21E-04  1.021487E-03  5.17E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   1.396E-06  2.792E-05  1.206164E-02  7.24E-01  8.022333E-03  1.08E-02  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  7.272612E-04  1.19E-04  9.598698E-04  5.01E-05  7.272612E-04  1.19E-04  9.598698E-04  5.01E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   1.595E-06  3.191E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  6.780891E-04  1.15E-04  8.872731E-04  4.82E-05  6.780891E-04  1.15E-04  8.872731E-04  4.82E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   1.795E-06  3.590E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  6.483431E-04  1.13E-04  8.164183E-04  4.63E-05  6.483431E-04  1.13E-04  8.164183E-04  4.63E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   1.994E-06  3.989E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  5.366784E-04  1.03E-04  7.559598E-04  4.45E-05  5.366784E-04  1.03E-04  7.559598E-04  4.45E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   2.194E-06  4.388E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  5.299660E-04  1.02E-04  7.376705E-04  4.40E-05  5.299660E-04  1.02E-04  7.376705E-04  4.40E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   2.393E-06  4.786E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  4.539444E-04  9.48E-05  6.969548E-04  4.27E-05  4.539444E-04  9.48E-05  6.969548E-04  4.27E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   2.593E-06  5.185E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  4.985373E-04  9.90E-05  6.631263E-04  4.17E-05  4.985373E-04  9.90E-05  6.631263E-04  4.17E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   2.792E-06  5.584E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  4.502847E-04  9.46E-05  6.247802E-04  4.05E-05  4.502847E-04  9.46E-05  6.247802E-04  4.05E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   2.991E-06  5.983E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  3.995342E-04  8.90E-05  5.729853E-04  3.87E-05  3.995342E-04  8.90E-05  5.729853E-04  3.87E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   3.191E-06  6.382E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  3.890059E-04  8.75E-05  5.799001E-04  3.91E-05  3.890059E-04  8.75E-05  5.799001E-04  3.91E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   3.390E-06  6.781E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  3.412560E-04  8.17E-05  5.454902E-04  3.79E-05  3.412560E-04  8.17E-05  5.454902E-04  3.79E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   3.590E-06  7.180E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  3.518364E-04  8.35E-05  5.043916E-04  3.64E-05  3.518364E-04  8.35E-05  5.043916E-04  3.64E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   3.789E-06  7.578E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  3.444650E-04  8.29E-05  4.908897E-04  3.59E-05  3.444650E-04  8.29E-05  4.908897E-04  3.59E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   3.989E-06  7.977E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  3.629716E-04  8.47E-05  4.723489E-04  3.52E-05  3.629716E-04  8.47E-05  4.723489E-04  3.52E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   4.188E-06  8.376E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.974262E-04  7.68E-05  4.532935E-04  3.45E-05  2.974262E-04  7.68E-05  4.532935E-04  3.45E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   4.388E-06  8.775E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.921881E-04  7.60E-05  4.314648E-04  3.37E-05  2.921881E-04  7.60E-05  4.314648E-04  3.37E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   4.587E-06  9.174E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.876611E-04  7.52E-05  4.298821E-04  3.36E-05  2.876611E-04  7.52E-05  4.298821E-04  3.36E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   4.786E-06  9.573E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  3.093246E-04  7.82E-05  4.267235E-04  3.35E-05  3.093246E-04  7.82E-05  4.267235E-04  3.35E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   4.986E-06  9.972E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.706287E-04  7.34E-05  3.807128E-04  3.16E-05  2.706287E-04  7.34E-05  3.807128E-04  3.16E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
   5.185E-06  1.037E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  2.184039E-04  6.58E-05  3.465267E-04  3.02E-05  2.184039E-04  6.58E-05  3.465267E-04  3.02E-05  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00
